,BaseLayer,TopLayer,PosXTop,PosYTop,PosZTop,PosXBase,PosYBase,PosZBase,ConnectingVectorX,ConnectingVectorY,ConnectingVectorZ,AngleOfTilt
0,29,15,13307.1966,28616.0328,31359.020399999998,19997.8623,28523.3643,28319.4936,-6690.665700000001,92.66849999999977,3039.526799999996,22.69744587075578
1,25,25,13344.263999999996,21276.6876,31210.7508,20034.9297,21035.7495,28375.0947,-6690.665700000005,240.9380999999994,2835.6561,21.32609294452343
2,24,26,13399.8651,13752.0054,31414.6215,20090.5308,13566.6684,28393.6284,-6690.6657,185.33699999999953,3020.9930999999997,22.611227642207457
3,20,28,13436.9325,6079.053599999999,31321.952999999998,20146.1319,6116.120999999999,28467.7632,-6709.1993999999995,-37.06739999999991,2854.1897999999965,21.284668188248574
4,30,11,13084.792199999998,32230.10429999999,24909.2928,19756.9242,32211.570599999995,21832.6986,-6672.132000000003,18.533699999996315,3076.5941999999995,23.00000045572372
5,27,12,13121.8596,25020.495,24890.7591,19812.5253,24761.0232,21869.766,-6690.665700000001,259.47179999999935,3020.9930999999997,22.6631055656506
6,23,27,13177.4607,17458.7454,25020.495,19868.1264,17291.9421,21925.3671,-6690.665700000001,166.80329999999958,3095.1278999999995,23.123739386162686
7,22,30,13214.5281,9878.4621,24946.3602,19923.7275,9822.861,21980.9682,-6709.199400000001,55.60109999999986,2965.392,22.09886852091956
8,26,16,12899.4552,28467.7632,18515.1663,19590.1209,28412.1621,15420.0384,-6690.665700000001,55.60109999999986,3095.1279000000013,23.078698197771626
9,21,18,12955.056299999998,21109.8843,18570.7674,19645.722,20980.1484,15457.1058,-6690.665700000003,129.7359000000033,3113.6616000000013,23.235641928274315
10,19,20,13010.657399999998,13752.0054,18607.8348,19701.3231,13529.601,15549.7743,-6690.665700000003,222.40439999999944,3058.0605000000014,22.897071028962174
11,18,19,13047.724799999998,6245.856899999999,18403.9641,19738.3905,6079.053599999999,15586.841699999995,-6690.665700000003,166.80329999999958,2817.1224000000057,21.139346508196873
12,28,23,12677.0508,32155.969499999992,12195.174599999998,19367.7165,32100.3684,8914.7097,-6690.665699999998,55.601099999992584,3280.464899999999,24.371270770521043
13,17,21,12732.6519,24742.4895,11991.3039,19423.3176,24649.821,8933.2434,-6690.665699999998,92.66849999999977,3058.0605000000014,22.828679113323677
14,15,29,12788.253,17254.8747,12139.5735,19460.385,17162.206199999997,8988.8445,-6672.131999999998,92.6685000000034,3150.729000000001,23.542065542923293
15,16,24,12825.3204,9841.3947,12009.8376,19515.9861,9711.658799999996,9025.9119,-6690.665699999998,129.73590000000513,2983.9257000000016,22.31786033861667
