,BaseLayer,TopLayer,PosXTop,PosYTop,PosZTop,PosXBase,PosYBase,PosZBase,ConnectingVectorX,ConnectingVectorY,ConnectingVectorZ,AngleOfTilt
0,21,24,11309.84781652268,11900.06464498543,26273.386750676556,16103.675816042223,11004.10881041664,24487.061368646497,-4793.827999519543,895.955834568791,1786.3253820300597,27.825892042408054
1,27,18,12051.6975819466,11619.532068143562,18985.18476107219,16839.17792903985,11121.87488348972,17126.000129005824,-4787.480347093251,497.6571846538427,1859.1846320663644,27.47771090168662
2,18,26,12786.26624110139,11701.08917304256,11660.343523201142,17610.841944026703,11240.554873417888,9766.784484324557,-4824.575702925313,460.5342996246709,1893.559038876585,27.60254568629098
3,19,27,10949.840518460614,18345.260979972794,30135.650800952084,15748.273612369818,17413.096177229916,28277.02516421514,-4798.433093909203,932.1648027428782,1858.6256367369424,28.619965500317516
4,25,21,11726.088902895614,18355.314065378698,22740.401486277664,16483.77572536745,17530.862250303002,20915.963924574477,-4757.686822471836,824.4518150756958,1824.4375617031874,28.106878439998862
5,26,29,12433.622949074475,18073.867571681752,15414.180482888403,17257.285923098458,17649.542240231167,13520.574861067698,-4823.662974023982,424.3253314505855,1893.605621820705,27.545494613491524
6,16,28,13211.738241195144,18156.33859343583,7946.49116467475,17993.70076499742,17731.099345130162,6159.560204371148,-4781.9625238022745,425.2392483056683,1786.9309603036018,26.62839280610738
7,24,22,11380.85106678686,24800.51040036606,26313.278185949184,16128.37352169504,23939.84961711628,24705.92772014312,-4747.522454908181,860.6607832497793,1607.3504658060629,26.152070339264686
8,30,20,12126.43464758212,24664.81369622054,18880.196189266346,16900.037536681884,24058.52960704444,17346.712075461845,-4773.602889099764,606.2840891761007,1533.4841138045012,24.455849678146482
9,23,23,12852.664396975915,24637.74389659728,11772.53521318066,17635.539649679522,24176.295680117524,9985.650835821176,-4782.875252703607,461.4482164797555,1786.8843773594836,26.69014480990784
10,20,16,11031.817240482247,30883.617053612565,30139.8346468404,15772.971318022634,30348.83698392956,28495.89151571176,-4741.154077540386,534.7800696830054,1643.9431311286426,25.535363796368852
11,28,17,11775.63753829937,31037.59209485973,22597.859730128104,16548.306973556304,30395.099037509543,21100.595618093223,-4772.669435256934,642.4930573501879,1497.2641120348817,24.193731806573535
12,29,15,12490.893815935717,31372.61197697733,15525.906343426732,17282.896357652608,30549.07407875672,13739.48779550844,-4792.002541716891,823.5378982206093,1786.4185479182925,27.589362786679953
13,17,19,13178.099126987268,31018.74754693221,8633.859531831728,18017.4857417489,30703.049120003885,6378.37997292365,-4839.386614761632,315.6984269283239,2255.4795589080777,30.913949244189283
