Name,Unit,Caption,PosX,PosY,PosZ
BaseLayerCentroids,Micrometers,1,18354.179022757122,35055.436635734906,3312.814179136971
BaseLayerCentroids,Micrometers,2,17679.79336620718,35047.21138403916,10132.979982522162
BaseLayerCentroids,Micrometers,3,16903.524256830682,34964.740362285076,17564.495881910316
BaseLayerCentroids,Micrometers,4,16167.109414931723,34883.18325738608,24925.510538606864
BaseLayerCentroids,Micrometers,5,15427.935661387273,34837.83512066117,32322.6520311848
BaseLayerCentroids,Micrometers,6,15041.992043663968,5120.891545968091,34696.619028982066
BaseLayerCentroids,Micrometers,7,15121.611133420982,30159.566891363385,34954.556045562524
BaseLayerCentroids,Micrometers,8,15092.308333378507,17260.035052837833,34807.989948772796
BaseLayerCentroids,Micrometers,9,18271.41231740767,11357.407029635888,3163.5194450600184
BaseLayerCentroids,Micrometers,10,18300.73584239165,24329.35680450961,3273.818957136015
BaseLayerCentroids,Micrometers,11,15707.126061551582,5056.698861315659,28093.58690443812
BaseLayerCentroids,Micrometers,12,16481.548988183924,5139.169883069739,20698.24442387547
BaseLayerCentroids,Micrometers,13,17956.224854726,5302.284092867731,5940.0416916568665
BaseLayerCentroids,Micrometers,14,17217.051101181547,5256.935956142821,13337.1831842348
BaseLayerCentroids,Micrometers,15,15391.937954854577,23785.874575869108,32103.208961553406
BaseLayerCentroids,Micrometers,16,17993.70076499742,17731.099345130162,6159.560204371148
BaseLayerCentroids,Micrometers,17,18017.4857417489,30703.049120003885,6378.37997292365
BaseLayerCentroids,Micrometers,18,17610.841944026703,11240.554873417888,9766.784484324557
BaseLayerCentroids,Micrometers,19,15748.273612369818,17413.096177229916,28277.02516421514
BaseLayerCentroids,Micrometers,20,15772.971318022634,30348.836983929556,28495.89151571176
BaseLayerCentroids,Micrometers,21,16103.675816042225,11004.108810416641,24487.061368646497
BaseLayerCentroids,Micrometers,22,15360.788972067943,10886.342737343557,31992.816283589174
BaseLayerCentroids,Micrometers,23,17635.539649679522,24176.295680117524,9985.650835821176
BaseLayerCentroids,Micrometers,24,16128.373521695039,23939.849617116277,24705.927720143118
BaseLayerCentroids,Micrometers,25,16483.77572536745,17530.862250303002,20915.963924574473
BaseLayerCentroids,Micrometers,26,17257.285923098458,17649.542240231167,13520.574861067698
BaseLayerCentroids,Micrometers,27,16839.17792903985,11121.874883489721,17126.000129005824
BaseLayerCentroids,Micrometers,28,16548.306973556304,30395.099037509546,21100.595618093226
BaseLayerCentroids,Micrometers,29,17282.896357652608,30549.074078756716,13739.48779550844
BaseLayerCentroids,Micrometers,30,16900.037536681884,24058.529607044442,17346.712075461845
